id,name,longitude,latitude,cuisine,vegan,vegetarian
65,Tian Fu Asian Bistro,-86.2208148,39.912164,chinese,,
66,Alibi's Bar and Grill,-86.0455644,39.8883104,,,
67,English Ivy,-86.1522696,39.7807184,,,yes
68,Subway,-86.2708891,39.8240202,sandwich,,
69,Noodles & Company,-86.1419953,39.869529,pasta,yes,yes
70,Panera Bread,-86.1601998,39.7674869,sandwich;bakery,,yes
71,Sushi Bar,-86.1425164,39.869564,sushi,,
72,La Margarita Fountain Square,-86.1408969,39.7528251,mexican,,
73,El Arado,-86.1404127,39.7523235,mexican,,
74,Rook,-86.1453942,39.7571115,asian,,
75,Tortas Guicho Dominguez y El Cubanito,-86.1459962,39.7578412,mexican,,
76,Bosphorus Istanbul Cafe,-86.1493363,39.7545597,turkish,,
77,Rally's,-86.2710562,39.6924952,burger,,
78,Rally's,-86.0458908,39.7881929,burger,,
79,kona jacks,-86.1561902,39.9246201,seafood,,
80,Daddy Jack's Restaurant & Bar,-86.1560646,39.9247437,steak_house,,
81,Sisters,-86.1236746,39.7814512,regional,,
82,More Than Just Pizza,-85.9921655,39.7979992,pizza,,
83,Just Pizza,-86.2423606,39.7550022,pizza,,
84,Chipotle,-86.1415659,39.8699054,mexican,yes,yes
85,Tlaolli,-86.1154549,39.7685695,mexican,,
86,Blue Shark,-86.2551591,39.8167953,,,
87,McDonald's,-86.2682471,39.7998903,burger,,
88,Burger King,-86.2160353,39.7875312,burger,,
89,Mann's Grille,-86.2164659,39.7494279,american,,
90,DJs Hotdog Co,-86.0440609,39.9264115,,,
91,La Cabaña Mexican grill and bar,-86.044478,39.9264043,mexican,,
92,Jimmy John's,-86.1202754,39.8669617,sandwich,,
93,Punch Burger,-86.1547252,39.7696984,burger,,
94,Shalimar,-86.1406117,39.8688774,indian,,
95,Best Taste Chinese Buffet,-86.1724563,39.7799731,chinese,,
96,Noodles & Company,-86.1728294,39.7797661,pasta,,
97,Marco's Pizza,-86.1721318,39.7803688,pizza,,
98,Sushi Boss,-86.1721211,39.780509,sushi,,
99,Panda Express,-86.170481,39.78129,chinese,,
100,Bento,-86.1730009,39.7795974,asian,,
101,Blaze Pizza,-86.1726356,39.7799567,pizza,,
102,Piada,-86.1063256,39.9127833,italian,yes,yes
103,Pei Wei,-86.121031,39.867692,asian,,
104,India Garden Restaurant,-86.1541599,39.7701591,indian,,
105,Barcelona Tapas Restaurant,-86.154176,39.769981,,,
106,Hardee's,-86.026573,39.836123,burger,,
107,Bando,-86.025285,39.836227,korean,,
108,Subway,-86.152241,39.773417,sandwich,,yes
109,Chipotle,-86.1577707,39.7672458,mexican,yes,yes
110,Qdoba,-86.1578982,39.7674837,mexican,yes,yes
111,Jimmy John's,-86.1579229,39.7672929,sandwich,yes,yes
112,Buffalo Wild Wings,-86.15759,39.766873,wings,no,yes
113,Rook,-86.145383,39.757231,sandwich,,
114,Bru Burger Bar,-86.152097,39.7732884,burger,yes,yes
115,Subway,-86.3150834,39.7000642,sandwich,,
116,Taco Bell,-86.116483,39.825053,tex-mex,,
117,The Eagle,-86.1539807,39.7717329,fried_chicken;southern,yes,yes
118,Bazbeaux,-86.1535566,39.771587,pizza,,yes
