event_id,event_name,category,city,start_date,start_time,end_time,longitude,latitude,min_ticket_price,max_ticket_price
142,"Leading Effective Teams 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/3/2022,9:00,17:00,-86.1007742,39.9249883,545,795
143,#VeteranWorks Virtual Job Fair / Career Expo #Veterans Event #Indianapolis,Career,Indianapolis  ,6/3/2022,11:00,14:00,-86.158068,39.768403,0,0
144,AnalyticsWeek Virtual Job Fair / Career Networking Event #Inidanapolis,Career,Indianapolis,5/30/2022,11:00,14:00,-86.158068,39.768403,0,0
145,Monthly #NonProfit Virtual JobExpo / Career Fair #Indianapolis,Education,Indianapolis,5/30/2022,11:00,14:00,-86.158068,39.768403,0,0
146,Monthly #USGov Virtual JobExpo / Career Fair #Indianapolis,Education,Indianapolis,5/30/2022,11:00,14:00,-86.158068,39.768403,0,0
147,#AnalyticsClub Virtual Job Fair / Career Expo Event #Indianapolis,Career,Indianapolis,5/30/2022,11:00,14:00,-86.1573709,39.7713425,0,0
148,#Caimpus Virtual JobFair/Career Expo #College#University Event#Indianapolis,Career,Indianapolis,6/3/2022,11:00,14:00,-86.158068,39.768403,0,0
149,"NAIOMT C-516 Cervical Spine I [Indianapolis, IN]2022",Medical,Indianapolis,6/3/2022,7:30,16:00,-86.1518831,39.9330713,349,599
150,Ladies Who Brunch - Instructional Cooking Class,Food & Drink,Carmel,6/3/2022,18:00,21:00,-86.1463395,39.9769745,100,175
151,"Human Resource Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/3/2022,9:00,17:00,-86.1009742,39.9249343,545,795
152,Indianapolis |Non Invasive Body Sculpting Training| School of Glamology,Business & Professional,Indianapolis,6/3/2022,10:00,17:00,-86.159345,39.7702698,500,500
153,"Internet Marketing Fundamentals 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/3/2022,9:00,17:00,-86.1007742,39.9249883,545,795
154,"Account Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/4/2022,9:00,17:00,-86.1009742,39.9249343,545,795
155,"Big Data Strategy 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/12/2022,9:00,17:00,-86.1007742,39.9249883,545,795
156,"Essential Management Skills 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/6/2022,9:00,17:00,-86.1007742,39.9249883,545,795
157,"Software Testing Essentials 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/6/2022,9:00,17:00,-86.1007742,39.9249883,645,895
158,"Stress Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/6/2022,9:00,17:00,-86.1007742,39.9249883,545,795
159,The Art Of Posing - A 2 Hour Photography Course,Other,Carmel,6/6/2022,14:00,16:00,-86.2056644,39.9777038,98,98
160,"Communication Strategies 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/6/2022,9:00,17:00,-86.1009742,39.9249343,545,795
161,7 Steps to Better Photography - The Crash Course May 14,Other,Carmel,6/6/2022,9:00,13:00,-86.2056644,39.9777038,150,150
163,How To Improve Your Focus and Limit Distractions - Indianapolis,Career,Indianapolis,6/6/2022,14:00,14:30,-86.2767995,39.9831886,0,0
164,Beyond the Basics:  Advanced Lighting Workshop,,Carmel,6/6/2022,14:00,17:00,-86.2056644,39.9777038,98,98
165,Shalom Dr. Dannee Neal Back-To-School Health Fair,Health & Wellness,Indianapolis,5/14/2022,10:00,14:00,-86.2297007,39.8176074,75,7000
166,Speed Reading Class - Indianapolis,Parenting,Indianapolis,6/13/2022,14:00,15:00,-86.2767995,39.9831886,0,0
167,7th Annual Pro-Life Women's Conference,Other,Plainfield,5/14/2022,12:00,15:00,-86.364631,39.674544,100,159
168,IN Stampers Annual Retired Sale,DIY,Fishers,5/10/2022,10:00,14:00,-86.0092897,39.9802812,0,0
169,Days Of The Dead : Indianapolis,"Film, Media & Entertainment",Indianapolis,5/11/2022,19:00,22:00,-86.0416617,39.7967881,329,850
170,"ITIL Foundation Certification Training in Indianapolis, IN",Career,"Indianapolis, IN",6/11/2022,9:00,1:00,-86.2767995,39.9831886,1699,1699
171,"Project Management Techniques Training in Indianapolis, IN",Career,"Indianapolis, IN",7/23/2022,9:00,17:00,-86.2767995,39.9831886,899,899
172,"Change Management Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",5/10/2022,9:00,17:00,-86.2767995,39.9831886,749,749
173,"Agile & Scrum Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",6/24/2022,9:00,17:00,-86.2767995,39.9831886,899,899
174,"Business Case Writing Classroom Training in Indianapolis, IN",Career," Indianapolis, IN",6/4/2022,9:00,17:00,-86.2767995,39.9831886,899,899
175,"Change Management Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",7/22/2022,9:00,17:00,-86.2767995,39.9831886,175,899
176,"Conflict Management Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",5/19/2022,9:00,17:00,-86.2767995,39.9831886,999,999
177,"Conflict Management Classroom Training in Indianapolis, IN",Career,"Indianapolis, IN",5/27/2022,9:00,17:00,-86.2767995,39.9831886,799,799
178,Beyond the Basics: The Artsy Stuff!  A 3 Hour Journey of Photo Expression!,Other,Carmel,5/27/2022,14:00,17:00,-86.2056644,39.9777038,98,98
179,Joy's House Gardening Part 2,,Indianapolis,5/27/2022,10:00,13:00,-86.1312077,39.7063384,,
180,NGT 2022,Basketball,Indianapolis,5/27/2022,18:00,18:00,-85.9989475,39.7921735,15,25
181,Barbecue & Bourbon - Instructional Cooking Class,Food & Drink,Carmel,5/27/2022,18:00,21:00,-86.1463395,39.9769745,100,175
182,Posh Wedding Planning Event July 2022,Fashion & Beauty,Carmel,5/27/2022,18:00,21:00,-86.117897,39.9634914,10,10
183,Summertime in Paris - Instructional Cooking Class,Food & Drink,Carmel,5/27/2022,18:00,21:00,-86.1463395,39.9769745,100,175
184,OutCare's 1st Annual Gala: A Night Out,Medical,Indianapolis,7/11/2022,18:30,23:59,-86.1699845,39.7594157,150,1800
185,Fishers One Spark! Parade 2022,City/Town,Fishers,5/20/2022,16:45,20:00,-86.009071,39.965047,0,0
186,Moving Forward with Courage and Compassion�,Business & Professional,Indianapolis,6/15/2022,8:00,4:00,-86.0091,39.96505,300,1200
